Concentration,Time,zmol/cell,StDev-zmol/cell,Type,Uptake,StDev,% intra,Concentration_actual
4000 nM,0,0,21.32265177,Intracellular,0,284.3020236,,5011.079968
4000 nM,0.5,271.2558266,64.81005013,Intracellular,3616.744355,864.1340017,,5011.079968
4000 nM,1,459.5265226,73.87926273,Intracellular,6127.020301,985.0568364,,5011.079968
4000 nM,2,1265.932482,453.8346151,Intracellular,16879.09976,6051.128201,,5011.079968
4000 nM,2.5,1437.57162,483.5472266,Intracellular,19167.6216,6447.296355,,5011.079968
4000 nM,5,3611.642146,336.5168554,Intracellular,48155.22861,4486.891405,,4296.130764
4000 nM,0,0,47.36364444,Total,0,631.5152592,,5011.079968
4000 nM,0.5,97.53623845,95.40930499,Total,1300.483179,1272.124067,,5011.079968
4000 nM,1,498.1387558,35.95029188,Total,6474.5304,467.2618923,0.922486992,5011.079968
4000 nM,2,1323.530962,136.1370583,Total,17397.48608,1789.487851,0.956481199,5011.079968
4000 nM,2.5,2114.08867,303.3625237,Total,25256.27505,3624.165555,0.679995896,5011.079968
4000 nM,5,4810.695326,208.4253201,Total,58946.70723,2553.889925,0.750752625,4296.130764
4000 nM,0,0,36.72853314,Oxidized,0,330.5567983,,5011.079968
4000 nM,0.5,0,109.3356892,Oxidized,0,984.0212028,,5011.079968
4000 nM,1,38.61223312,73.4954679,Oxidized,347.5100981,661.4592111,,5011.079968
4000 nM,2,57.59847951,255.6691519,Oxidized,518.3863156,2301.022367,,5011.079968
4000 nM,2.5,676.5170494,408.3066249,Oxidized,6088.653445,3674.759624,,5011.079968
4000 nM,5,1199.05318,316.0721593,Oxidized,10791.47862,2844.649434,,4296.130764
1000 nM,0,0,50.09765351,Intracellular,0,667.9687135,,880.8184273
1000 nM,3,275.8483812,67.10772633,Intracellular,3677.978416,894.7696844,,880.8184273
1000 nM,3.5,323.3415761,49.85144184,Intracellular,4311.221015,664.6858912,,880.8184273
1000 nM,4,362.1778822,76.09975829,Intracellular,4829.038429,1014.663444,,880.8184273
1000 nM,5.5,946.4974954,150.4590845,Intracellular,12619.96661,2006.121127,,1007.965138
1000 nM,0,0,38.37840524,Total,0,511.7120699,,880.8184273
1000 nM,3,217.9594698,56.32932976,Total,2906.126264,751.0577301,,880.8184273
1000 nM,3.5,251.2381687,96.45716441,Total,3349.842249,1286.095525,,880.8184273
1000 nM,4,717.0890857,372.7940259,Total,8023.239261,4171.051721,0.505066789,880.8184273
1000 nM,5.5,1511.975559,250.9493903,Total,17709.26918,2939.287131,0.626000526,1007.965138
1000 nM,0,0,44.62441527,Oxidized,0,401.6197374,,880.8184273
1000 nM,3,0,75.39961463,Oxidized,0,678.5965317,,880.8184273
1000 nM,3.5,0,98.98389961,Oxidized,0,890.8550965,,880.8184273
1000 nM,4,354.9112036,351.77,Oxidized,3194.200832,3165.93,,880.8184273
1000 nM,5.5,565.4780637,292.1240527,Oxidized,5089.302573,2629.116474,,1007.965138
250 nM,0,0,17.19261989,Intracellular,0,229.2349319,,241.0277194
250 nM,0.5,32.66072702,13.84124873,Intracellular,435.4763603,184.5499831,,241.0277194
250 nM,1,67.38063435,31.65586475,Intracellular,898.408458,422.0781967,,241.0277194
250 nM,3,160.7619156,55.81615226,Intracellular,2143.492208,744.2153635,,227.3546172
250 nM,3.5,183.7209618,26.20380321,Intracellular,2449.612824,349.3840428,,227.3546172
250 nM,4,228.4715589,100.2890397,Intracellular,3046.287452,1337.187196,,300.7173547
250 nM,4.5,405.6079769,242.7565844,Intracellular,5408.106359,3236.754459,,300.7173547
250 nM,5,563.2059521,132.4959135,Intracellular,7509.412695,1766.61218,,300.7173547
250 nM,0,0,30.76698089,Total,0,410.2264119,,241.0277194
250 nM,0.5,0,42.96252437,Total,0,572.8336583,,241.0277194
250 nM,1,18.83679921,54.10719945,Total,251.1573228,721.429326,,241.0277194
250 nM,3,158.2620935,70.29447876,Total,2110.161247,937.2597168,,227.3546172
250 nM,3.5,287.8821991,25.24344069,Total,3387.06396,297.0004691,0.638181042,227.3546172
250 nM,4,505.9223806,178.3825182,Total,5543.344847,1954.520794,0.451594094,300.7173547
250 nM,4.5,898.706727,484.1378941,Total,9845.99511,5304.087746,0.451324069,300.7173547
250 nM,5,1125.194275,341.6599447,Total,12567.3076,3816.003792,0.500541075,300.7173547
250 nM,0,0,44.3371749,Oxidized,0,399.0345741,,241.0277194
250 nM,0.5,0,130.3501685,Oxidized,0,1173.151517,,241.0277194
250 nM,1,0,44.31588572,Oxidized,0,398.8429715,,241.0277194
250 nM,3,0,88.13734365,Oxidized,0,793.2360929,,227.3546172
250 nM,3.5,104.1612373,32.17616118,Oxidized,937.4511357,289.5854506,,227.3546172
250 nM,4,277.4508217,203.3666713,Oxidized,2497.057395,1830.300042,,300.7173547
250 nM,4.5,493.0987501,541.1100151,Oxidized,4437.888751,4869.990136,,300.7173547
250 nM,5,561.988323,365.7409926,Oxidized,5057.894907,3291.668933,,300.7173547
62.5 nM,0,0,8.052992572,Intracellular,0,107.3732343,,68.46218918
62.5 nM,0.5,20.77565394,16.33764744,Intracellular,277.0087192,217.8352992,,68.46218918
62.5 nM,1,33.34707388,19.02945506,Intracellular,444.6276517,253.7260675,,68.46218918
62.5 nM,5,268.7344678,54.86554956,Intracellular,3583.126237,731.5406608,,68.46218918
62.5 nM,0,0,6.058774994,Total,0,80.78366659,,68.46218918
62.5 nM,0.5,43.00193035,23.79118629,Total,477.0452069,263.9293467,0.483133054,68.46218918
62.5 nM,1,92.72395656,15.21037498,Total,979.0195959,160.5977109,0.359638168,68.46218918
62.5 nM,5,631.0901273,93.63513111,Total,6844.327173,1015.495956,0.425825815,68.46218918
62.5 nM,0,0,11.52103784,Oxidized,0,103.6893406,,68.46218918
62.5 nM,0.5,22.2262764,25.43908817,Oxidized,200.0364876,228.9517935,,68.46218918
62.5 nM,1,59.37688268,35.53776036,Oxidized,534.3919441,319.8398432,,68.46218918
62.5 nM,5,362.3556595,107.9121494,Oxidized,3261.200936,971.2093446,,68.46218918
15.6 nM,0,0,0.796466557,Intracellular,0,10.61955409,,26.27696279
15.6 nM,1,13.20942456,3.018630562,Intracellular,176.1256608,40.24840749,,26.27696279
15.6 nM,1.5,23.93480862,7.197320988,Intracellular,319.1307816,95.96427984,,26.27696279
15.6 nM,2,34.01959237,9.456085644,Intracellular,453.5945649,126.0811419,,26.27696279
15.6 nM,0.5,9.226127117,9.42585611,Intracellular,123.0150282,125.6780815,,24.39459371
15.6 nM,5,125.7317396,9.082343713,Intracellular,1676.423195,121.0979162,,24.39459371
15.6 nM,0,0,3.386314706,Total,0,45.15086275,,26.27696279
15.6 nM,1,28.01737968,12.45941273,Total,373.5650624,166.1255031,0.471472519,26.27696279
15.6 nM,1.5,41.51612573,4.757980213,Total,477.3626356,54.70842798,0.576518358,26.27696279
15.6 nM,2,56.38740553,5.069782516,Total,654.9048834,58.8823922,0.603318987,26.27696279
15.6 nM,0.5,8.596399033,18.17792477,Total,114.6186538,242.3723303,,24.39459371
15.6 nM,5,279.8716201,23.6075234,Total,3063.682119,258.4254427,0.449247907,24.39459371
15.6 nM,0,0,2.459825834,Oxidized,0,22.13843251,,26.27696279
15.6 nM,1,14.80795513,12.58166733,Oxidized,133.2715962,113.235006,,26.27696279
15.6 nM,1.5,17.58131711,13.93625204,Oxidized,158.231854,125.4262684,,26.27696279
15.6 nM,2,22.36781317,10.44363478,Oxidized,201.3103185,93.99271302,,26.27696279
15.6 nM,0.5,0,13.8783696,Oxidized,0,124.9053264,,24.39459371
15.6 nM,5,154.1398805,20.32558877,Oxidized,1387.258925,182.9302989,,24.39459371
4 nM,0,0,0.2827557,Intracellular,0,3.770076,,5.112637664
4 nM,0.5,1.432551663,1.227423001,Intracellular,19.10068884,16.36564001,,5.112637664
4 nM,1,1.295975445,1.694381604,Intracellular,17.2796726,22.59175472,,4.358242995
4 nM,1.5,3.95396583,1.695052841,Intracellular,52.7195444,22.60070455,,4.358242995
4 nM,2,3.68036509,1.234798808,Intracellular,49.07153453,16.46398411,,4.358242995
4 nM,3,9.732730682,0.914106829,Intracellular,129.7697424,12.18809105,,3.866485579
4 nM,4,12.15512122,3.282597625,Intracellular,162.0682829,43.76796833,,3.866485579
4 nM,5,14.5729958,1.144582468,Intracellular,194.3066107,15.26109957,,3.866485579
4 nM,0,0,1.879862289,Total,0,25.06483052,,5.112637664
4 nM,0.5,1.065005409,3.706013074,Total,14.20007212,49.41350765,,5.112637664
