Concentration,Time,Type,Uptake
4000 nM,0,Intracellular,0
4000 nM,0.016666667,Intracellular,0
4000 nM,0.033333333,Intracellular,133.69
4000 nM,0.05,Intracellular,267.38
4000 nM,0.066666667,Intracellular,399.07
4000 nM,0.083333333,Intracellular,529.23
4000 nM,0.1,Intracellular,658.24
4000 nM,0.116666667,Intracellular,786.37
4000 nM,0.133333333,Intracellular,913.77
4000 nM,0.15,Intracellular,1040.58
4000 nM,0.166666667,Intracellular,1166.87
4000 nM,0.183333333,Intracellular,1292.72
4000 nM,0.2,Intracellular,1418.19
4000 nM,0.216666667,Intracellular,1543.3
4000 nM,0.233333333,Intracellular,1668.1
4000 nM,0.25,Intracellular,1792.61
4000 nM,0.266666667,Intracellular,1916.86
4000 nM,0.283333333,Intracellular,2040.86
4000 nM,0.3,Intracellular,2164.64
4000 nM,0.316666667,Intracellular,2288.2
4000 nM,0.333333333,Intracellular,2411.55
4000 nM,0.35,Intracellular,2534.71
4000 nM,0.366666667,Intracellular,2657.69
4000 nM,0.383333333,Intracellular,2780.49
4000 nM,0.4,Intracellular,2903.12
4000 nM,0.416666667,Intracellular,3025.59
4000 nM,0.433333333,Intracellular,3147.89
4000 nM,0.45,Intracellular,3270.04
4000 nM,0.466666667,Intracellular,3392.05
4000 nM,0.483333333,Intracellular,3513.9
4000 nM,0.5,Intracellular,3635.61
4000 nM,0.516666667,Intracellular,3757.18
4000 nM,0.533333333,Intracellular,3878.61
4000 nM,0.55,Intracellular,3999.91
4000 nM,0.566666667,Intracellular,4121.06
4000 nM,0.583333333,Intracellular,4242.09
4000 nM,0.6,Intracellular,4362.99
4000 nM,0.616666667,Intracellular,4483.75
4000 nM,0.633333333,Intracellular,4604.39
4000 nM,0.65,Intracellular,4724.9
4000 nM,0.666666667,Intracellular,4845.28
4000 nM,0.683333333,Intracellular,4965.53
4000 nM,0.7,Intracellular,5085.66
4000 nM,0.716666667,Intracellular,5205.66
4000 nM,0.733333333,Intracellular,5325.54
4000 nM,0.75,Intracellular,5445.3
4000 nM,0.766666667,Intracellular,5564.93
4000 nM,0.783333333,Intracellular,5684.43
4000 nM,0.8,Intracellular,5803.82
4000 nM,0.816666667,Intracellular,5923.08
4000 nM,0.833333333,Intracellular,6042.21
4000 nM,0.85,Intracellular,6161.23
4000 nM,0.866666667,Intracellular,6280.12
4000 nM,0.883333333,Intracellular,6398.88
4000 nM,0.9,Intracellular,6517.53
4000 nM,0.916666667,Intracellular,6636.05
4000 nM,0.933333333,Intracellular,6754.44
4000 nM,0.95,Intracellular,6872.71
4000 nM,0.966666667,Intracellular,6990.86
4000 nM,0.983333333,Intracellular,7108.89
4000 nM,1,Intracellular,7226.79
4000 nM,1.016666667,Intracellular,7344.56
4000 nM,1.033333333,Intracellular,7462.21
4000 nM,1.05,Intracellular,7579.74
4000 nM,1.066666667,Intracellular,7697.14
4000 nM,1.083333333,Intracellular,7814.41
4000 nM,1.1,Intracellular,7931.56
4000 nM,1.116666667,Intracellular,8048.58
4000 nM,1.133333333,Intracellular,8165.47
4000 nM,1.15,Intracellular,8282.24
4000 nM,1.166666667,Intracellular,8398.88
4000 nM,1.183333333,Intracellular,8515.39
4000 nM,1.2,Intracellular,8631.78
4000 nM,1.216666667,Intracellular,8748.04
4000 nM,1.233333333,Intracellular,8864.16
4000 nM,1.25,Intracellular,8980.16
4000 nM,1.266666667,Intracellular,9096.03
4000 nM,1.283333333,Intracellular,9211.77
4000 nM,1.3,Intracellular,9327.38
4000 nM,1.316666667,Intracellular,9442.86
4000 nM,1.333333333,Intracellular,9558.21
4000 nM,1.35,Intracellular,9673.43
4000 nM,1.366666667,Intracellular,9788.51
4000 nM,1.383333333,Intracellular,9903.47
4000 nM,1.4,Intracellular,10018.29
4000 nM,1.416666667,Intracellular,10132.98
4000 nM,1.433333333,Intracellular,10247.53
4000 nM,1.45,Intracellular,10361.96
4000 nM,1.466666667,Intracellular,10476.24
4000 nM,1.483333333,Intracellular,10590.4
4000 nM,1.5,Intracellular,10704.42
4000 nM,1.516666667,Intracellular,10818.31
4000 nM,1.533333333,Intracellular,10932.06
4000 nM,1.55,Intracellular,11045.67
4000 nM,1.566666667,Intracellular,11159.15
4000 nM,1.583333333,Intracellular,11272.5
4000 nM,1.6,Intracellular,11385.71
4000 nM,1.616666667,Intracellular,11498.78
4000 nM,1.633333333,Intracellular,11611.71
4000 nM,1.65,Intracellular,11724.51
4000 nM,1.666666667,Intracellular,11837.17
4000 nM,1.683333333,Intracellular,11949.69
4000 nM,1.7,Intracellular,12062.07
4000 nM,1.716666667,Intracellular,12174.31
4000 nM,1.733333333,Intracellular,12286.42
4000 nM,1.75,Intracellular,12398.39
4000 nM,1.766666667,Intracellular,12510.21
4000 nM,1.783333333,Intracellular,12621.9
4000 nM,1.8,Intracellular,12733.45
4000 nM,1.816666667,Intracellular,12844.85
4000 nM,1.833333333,Intracellular,12956.12
4000 nM,1.85,Intracellular,13067.24
4000 nM,1.866666667,Intracellular,13178.23
4000 nM,1.883333333,Intracellular,13289.07
4000 nM,1.9,Intracellular,13399.77
4000 nM,1.916666667,Intracellular,13510.33
4000 nM,1.933333333,Intracellular,13620.75
4000 nM,1.95,Intracellular,13731.02
4000 nM,1.966666667,Intracellular,13841.15
4000 nM,1.983333333,Intracellular,13951.14
4000 nM,2,Intracellular,14060.98
4000 nM,2.016666667,Intracellular,14170.68
4000 nM,2.033333333,Intracellular,14280.24
4000 nM,2.05,Intracellular,14389.65
4000 nM,2.066666667,Intracellular,14498.92
4000 nM,2.083333333,Intracellular,14608.05
4000 nM,2.1,Intracellular,14717.03
4000 nM,2.116666667,Intracellular,14825.86
4000 nM,2.133333333,Intracellular,14934.55
4000 nM,2.15,Intracellular,15043.1
4000 nM,2.166666667,Intracellular,15151.49
4000 nM,2.183333333,Intracellular,15259.75
4000 nM,2.2,Intracellular,15367.85
4000 nM,2.216666667,Intracellular,15475.81
4000 nM,2.233333333,Intracellular,15583.63
4000 nM,2.25,Intracellular,15691.29
4000 nM,2.266666667,Intracellular,15798.81
4000 nM,2.283333333,Intracellular,15906.19
4000 nM,2.3,Intracellular,16013.41
4000 nM,2.316666667,Intracellular,16120.49
4000 nM,2.333333333,Intracellular,16227.42
4000 nM,2.35,Intracellular,16334.21
4000 nM,2.366666667,Intracellular,16440.84
4000 nM,2.383333333,Intracellular,16547.33
4000 nM,2.4,Intracellular,16653.67
4000 nM,2.416666667,Intracellular,16759.85
4000 nM,2.433333333,Intracellular,16865.9
4000 nM,2.45,Intracellular,16971.79
4000 nM,2.466666667,Intracellular,17077.53
4000 nM,2.483333333,Intracellular,17183.12
4000 nM,2.5,Intracellular,17288.57
4000 nM,2.516666667,Intracellular,17393.86
4000 nM,2.533333333,Intracellular,17499.01
4000 nM,2.55,Intracellular,17604
4000 nM,2.566666667,Intracellular,17708.85
4000 nM,2.583333333,Intracellular,17813.54
4000 nM,2.6,Intracellular,17918.08
4000 nM,2.616666667,Intracellular,18022.48
4000 nM,2.633333333,Intracellular,18126.72
4000 nM,2.65,Intracellular,18230.81
4000 nM,2.666666667,Intracellular,18334.75
4000 nM,2.683333333,Intracellular,18438.54
4000 nM,2.7,Intracellular,18542.18
4000 nM,2.716666667,Intracellular,18645.67
4000 nM,2.733333333,Intracellular,18749
4000 nM,2.75,Intracellular,18852.19
4000 nM,2.766666667,Intracellular,18955.22
4000 nM,2.783333333,Intracellular,19058.1
4000 nM,2.8,Intracellular,19160.83
4000 nM,2.816666667,Intracellular,19263.4
4000 nM,2.833333333,Intracellular,19365.83
4000 nM,2.85,Intracellular,19468.1
4000 nM,2.866666667,Intracellular,19570.22
4000 nM,2.883333333,Intracellular,19672.18
4000 nM,2.9,Intracellular,19773.99
4000 nM,2.916666667,Intracellular,19875.65
4000 nM,2.933333333,Intracellular,19977.16
4000 nM,2.95,Intracellular,20078.51
4000 nM,2.966666667,Intracellular,20179.71
4000 nM,2.983333333,Intracellular,20280.76
4000 nM,3,Intracellular,20381.66
4000 nM,3.016666667,Intracellular,20482.4
4000 nM,3.033333333,Intracellular,20582.98
4000 nM,3.05,Intracellular,20683.41
4000 nM,3.066666667,Intracellular,20783.69
4000 nM,3.083333333,Intracellular,20883.82
4000 nM,3.1,Intracellular,20983.79
4000 nM,3.116666667,Intracellular,21083.6
4000 nM,3.133333333,Intracellular,21183.27
4000 nM,3.15,Intracellular,21282.77
4000 nM,3.166666667,Intracellular,21382.13
4000 nM,3.183333333,Intracellular,21481.32
4000 nM,3.2,Intracellular,21580.37
4000 nM,3.216666667,Intracellular,21679.26
4000 nM,3.233333333,Intracellular,21777.99
4000 nM,3.25,Intracellular,21876.57
4000 nM,3.266666667,Intracellular,21974.99
4000 nM,3.283333333,Intracellular,22073.26
4000 nM,3.3,Intracellular,22171.38
4000 nM,3.316666667,Intracellular,22269.34
4000 nM,3.333333333,Intracellular,22367.14
4000 nM,3.35,Intracellular,22464.79
4000 nM,3.366666667,Intracellular,22562.28
4000 nM,3.383333333,Intracellular,22659.61
4000 nM,3.4,Intracellular,22756.79
4000 nM,3.416666667,Intracellular,22853.82
4000 nM,3.433333333,Intracellular,22950.69
4000 nM,3.45,Intracellular,23047.4
4000 nM,3.466666667,Intracellular,23143.96
4000 nM,3.483333333,Intracellular,23240.36
4000 nM,3.5,Intracellular,23336.6
4000 nM,3.516666667,Intracellular,23432.69
4000 nM,3.533333333,Intracellular,23528.62
4000 nM,3.55,Intracellular,23624.4
4000 nM,3.566666667,Intracellular,23720.02
4000 nM,3.583333333,Intracellular,23815.48
4000 nM,3.6,Intracellular,23910.79
4000 nM,3.616666667,Intracellular,24005.94
4000 nM,3.633333333,Intracellular,24100.93
4000 nM,3.65,Intracellular,24195.77
4000 nM,3.666666667,Intracellular,24290.45
4000 nM,3.683333333,Intracellular,24384.97
4000 nM,3.7,Intracellular,24479.33
4000 nM,3.716666667,Intracellular,24573.54
4000 nM,3.733333333,Intracellular,24667.59
4000 nM,3.75,Intracellular,24761.49
4000 nM,3.766666667,Intracellular,24855.22
4000 nM,3.783333333,Intracellular,24948.8
4000 nM,3.8,Intracellular,25042.22
4000 nM,3.816666667,Intracellular,25135.49
4000 nM,3.833333333,Intracellular,25228.6
4000 nM,3.85,Intracellular,25321.55
4000 nM,3.866666667,Intracellular,25414.34
4000 nM,3.883333333,Intracellular,25506.97
4000 nM,3.9,Intracellular,25599.45
4000 nM,3.916666667,Intracellular,25691.77
4000 nM,3.933333333,Intracellular,25783.93
4000 nM,3.95,Intracellular,25875.93
4000 nM,3.966666667,Intracellular,25967.78
4000 nM,3.983333333,Intracellular,26059.47
4000 nM,4,Intracellular,26151
4000 nM,4.016666667,Intracellular,26242.37
4000 nM,4.033333333,Intracellular,26333.58
4000 nM,4.05,Intracellular,26424.64
4000 nM,4.066666667,Intracellular,26515.54
4000 nM,4.083333333,Intracellular,26606.28
