Concentration,Time,zmoles/cell,stdev zmoles,Type,Uptake,StDev
4 uM,0,0,21.32265177,Intracellular,0,0.284302024
4 uM,5,3891.576464,269.4186417,Intracellular,51.88768619,3.592248556
4 uM,8,5527.378355,937.5275237,Intracellular,73.69837807,12.50036698
4 uM,20,9146.401068,986.5754383,Intracellular,121.9520142,13.15433918
4 uM,40,10919.14357,1486.014882,Intracellular,145.5885809,19.81353176
4 uM,0,0,47.36364444,Total,0,0.631515259
4 uM,5,4906.127864,579.2160192,Total,61.01864879,7.203843812
4 uM,8,8031.91505,990.8229729,Total,96.23920832,11.87213982
4 uM,20,21661.90659,2442.636047,Total,234.5915639,26.45297209
4 uM,40,58273.8401,2650.064786,Total,571.7808497,26.00234158
4 uM,0,0,36.72853314,Oxidized,0,0.330556798
4 uM,5,1014.551399,629.7093667,Oxidized,9.130962591,5.6673843
4 uM,8,2504.536695,1359.832455,Oxidized,22.54083026,12.2384921
4 uM,20,12515.50552,2632.158475,Oxidized,112.6395497,23.68942628
4 uM,40,47354.69653,3036.369524,Oxidized,426.1922688,27.32732572
