Concentration,Time,Type,Uptake
4 uM,0,Intracellular,0
4 uM,0.016666667,Intracellular,1.00E-11
4 uM,0.033333333,Intracellular,133.6890153
4 uM,0.05,Intracellular,267.3795315
4 uM,0.066666667,Intracellular,399.0689057
4 uM,0.083333333,Intracellular,529.2271325
4 uM,0.1,Intracellular,658.2418645
4 uM,0.116666667,Intracellular,786.365993
4 uM,0.133333333,Intracellular,913.7698901
4 uM,0.15,Intracellular,1040.573739
4 uM,0.166666667,Intracellular,1166.865593
4 uM,0.183333333,Intracellular,1292.711885
4 uM,0.2,Intracellular,1418.163906
4 uM,0.216666667,Intracellular,1543.261998
4 uM,0.233333333,Intracellular,1668.038366
,0.25,Intracellular,1792.519033
,0.266666667,Intracellular,1916.72523
,0.283333333,Intracellular,2040.674413
,0.3,Intracellular,2164.381019
,0.316666667,Intracellular,2287.857042
,0.333333333,Intracellular,2411.112476
,0.35,Intracellular,2534.155658
,0.366666667,Intracellular,2656.993548
,0.383333333,Intracellular,2779.631943
,0.4,Intracellular,2902.075657
,0.416666667,Intracellular,3024.328671
,0.433333333,Intracellular,3146.394245
,0.45,Intracellular,3268.275027
,0.466666667,Intracellular,3389.97313
,0.483333333,Intracellular,3511.490203
,0.5,Intracellular,3632.827495
,0.516666667,Intracellular,3753.985903
,0.533333333,Intracellular,3874.966019
,0.55,Intracellular,3995.768161
,0.566666667,Intracellular,4116.392414
,0.583333333,Intracellular,4236.838653
,0.6,Intracellular,4357.106571
,0.616666667,Intracellular,4477.195699
,0.633333333,Intracellular,4597.105425
,0.65,Intracellular,4716.835013
,0.666666667,Intracellular,4836.383617
,0.683333333,Intracellular,4955.750291
,0.7,Intracellular,5074.934008
,0.716666667,Intracellular,5193.933662
,0.733333333,Intracellular,5312.748086
,0.75,Intracellular,5431.376052
,0.766666667,Intracellular,5549.816285
,0.783333333,Intracellular,5668.067466
,0.8,Intracellular,5786.128242
,0.816666667,Intracellular,5903.997226
,0.833333333,Intracellular,6021.673006
,0.85,Intracellular,6139.154149
,0.866666667,Intracellular,6256.439202
,0.883333333,Intracellular,6373.5267
,0.9,Intracellular,6490.415167
,0.916666667,Intracellular,6607.103118
,0.933333333,Intracellular,6723.589064
,0.95,Intracellular,6839.871511
,0.966666667,Intracellular,6955.948967
,0.983333333,Intracellular,7071.81994
,1,Intracellular,7187.482941
,1.016666667,Intracellular,7302.936487
,1.033333333,Intracellular,7418.179098
,1.05,Intracellular,7533.209306
,1.066666667,Intracellular,7648.025647
,1.083333333,Intracellular,7762.626671
,1.1,Intracellular,7877.010935
,1.116666667,Intracellular,7991.177009
,1.133333333,Intracellular,8105.123477
,1.15,Intracellular,8218.848932
,1.166666667,Intracellular,8332.351985
,1.183333333,Intracellular,8445.631257
,1.2,Intracellular,8558.685386
,1.216666667,Intracellular,8671.513024
,1.233333333,Intracellular,8784.112839
,1.25,Intracellular,8896.483514
,1.266666667,Intracellular,9008.623747
,1.283333333,Intracellular,9120.532255
,1.3,Intracellular,9232.207768
,1.316666667,Intracellular,9343.649034
,1.333333333,Intracellular,9454.854816
,1.35,Intracellular,9565.823897
,1.366666667,Intracellular,9676.555073
,1.383333333,Intracellular,9787.047159
,1.4,Intracellular,9897.298984
,1.416666667,Intracellular,10007.3094
,1.433333333,Intracellular,10117.07726
,1.45,Intracellular,10226.60146
,1.466666667,Intracellular,10335.88089
,1.483333333,Intracellular,10444.91446
,1.5,Intracellular,10553.70111
,1.516666667,Intracellular,10662.23978
,1.533333333,Intracellular,10770.52943
,1.55,Intracellular,10878.56904
,1.566666667,Intracellular,10986.35761
,1.583333333,Intracellular,11093.89415
,1.6,Intracellular,11201.17768
,1.616666667,Intracellular,11308.20724
,1.633333333,Intracellular,11414.9819
,1.65,Intracellular,11521.50072
,1.666666667,Intracellular,11627.7628
,1.683333333,Intracellular,11733.76722
,1.7,Intracellular,11839.51312
,1.716666667,Intracellular,11944.99962
,1.733333333,Intracellular,12050.22587
,1.75,Intracellular,12155.19103
,1.766666667,Intracellular,12259.89427
,1.783333333,Intracellular,12364.33477
,1.8,Intracellular,12468.51175
,1.816666667,Intracellular,12572.42441
,1.833333333,Intracellular,12676.07198
,1.85,Intracellular,12779.4537
,1.866666667,Intracellular,12882.56883
,1.883333333,Intracellular,12985.41664
,1.9,Intracellular,13087.9964
,1.916666667,Intracellular,13190.3074
,1.933333333,Intracellular,13292.34895
,1.95,Intracellular,13394.12036
,1.966666667,Intracellular,13495.62096
,1.983333333,Intracellular,13596.85009
,2,Intracellular,13697.80709
,2.016666667,Intracellular,13798.49134
,2.033333333,Intracellular,13898.9022
,2.05,Intracellular,13999.03905
,2.066666667,Intracellular,14098.9013
,2.083333333,Intracellular,14198.48833
,2.1,Intracellular,14297.79958
,2.116666667,Intracellular,14396.83446
,2.133333333,Intracellular,14495.59241
,2.15,Intracellular,14594.07288
,2.166666667,Intracellular,14692.27532
,2.183333333,Intracellular,14790.19919
,2.2,Intracellular,14887.84396
,2.216666667,Intracellular,14985.20913
,2.233333333,Intracellular,15082.29419
,2.25,Intracellular,15179.09862
,2.266666667,Intracellular,15275.62196
,2.283333333,Intracellular,15371.8637
,2.3,Intracellular,15467.82339
,2.316666667,Intracellular,15563.50055
,2.333333333,Intracellular,15658.89473
,2.35,Intracellular,15754.00548
,2.366666667,Intracellular,15848.83237
,2.383333333,Intracellular,15943.37495
,2.4,Intracellular,16037.63281
,2.416666667,Intracellular,16131.60553
,2.433333333,Intracellular,16225.29269
,2.45,Intracellular,16318.6939
,2.466666667,Intracellular,16411.80876
,2.483333333,Intracellular,16504.63688
,2.5,Intracellular,16597.17788
,2.516666667,Intracellular,16689.43139
,2.533333333,Intracellular,16781.39704
,2.55,Intracellular,16873.07447
,2.566666667,Intracellular,16964.46332
,2.583333333,Intracellular,17055.56325
,2.6,Intracellular,17146.37391
