Concentration,Time,zmoles/cell,stdev zmoles,Type,Uptake,StDev
4 uM,0,0,7.585505122,Intracellular,0,0.101140068
4 uM,0.5,85.35477485,21.47449838,Intracellular,1.138063665,0.286326645
4 uM,1,168.6229818,41.41422179,Intracellular,2.248306424,0.552189624
4 uM,5,1447.387534,334.6606001,Intracellular,19.29850045,4.462141335
4 uM,10,2528.322928,205.7192919,Intracellular,33.71097237,2.742923892
4 uM,0,0,66.57063028,Total,0,0.887608404
4 uM,0.5,141.653,113.3850191,Total,1.644747691,1.31652523
4 uM,1,453.527,240.0127994,Total,4.812442588,2.546811584
4 uM,5,5023.113,495.0382628,Total,51.48002965,5.073464292
4 uM,10,10805.006,552.5324394,Total,108.20112,5.533049107
4 uM,0,0,47.37715011,Oxidized,0,0.426394351
4 uM,0.5,56.298,105.2270035,Oxidized,0.506682,0.947043032
4 uM,1,284.904,238.9072776,Oxidized,2.564136,2.150165498
4 uM,5,3575.726,595.6643388,Oxidized,32.181534,5.360979049
4 uM,10,8276.683,587.680125,Oxidized,74.490147,5.289121125
