Concentration,Time,zmol/cell,StDev-zmol/cell,Type,Uptake,StDev
4 uM,0,0,5.144693466,Intracellular,0,0.128617337
4 uM,5,38.57505005,12.36126045,Intracellular,0.964376251,0.309031511
4 uM,10,72.2529877,12.10146068,Intracellular,1.806324693,0.302536517
4 uM,20,126.20715,18.05737774,Intracellular,3.15517875,0.451434444
4 uM,40,289.5710667,69.92307976,Intracellular,7.239276668,1.748076994
4 uM,0,0,15.43230055,Total,0,0.385807514
4 uM,5,114.997,76.94787317,Total,2.253996657,1.105518058
4 uM,10,243.285,11.62860603,Total,4.6924899,0.159914558
4 uM,20,502.7702089,38.77370727,Total,9.509680369,0.504693168
4 uM,40,1051.203066,15.85781245,Total,20.09181666,0.21261301
4 uM,0,0,11.50269036,Oxidized,0,0.1941079
4 uM,5,76.422,15.97643032,Oxidized,1.28962125,0.269602262
4 uM,10,171.032,12.22120874,Oxidized,2.886165,0.206232898
4 uM,20,376.5630588,42.39415575,Oxidized,6.354501617,0.715401378
4 uM,40,761.6319994,71.47378873,Oxidized,12.85253999,1.206120185
