Concentration,Time,Type,Uptake
4 uM,0,Intracellular,0.00E+00
4 uM,0.016666667,Intracellular,1.00E-11
4 uM,0.033333333,Intracellular,2.58E-01
4 uM,0.05,Intracellular,1.02E+00
4 uM,0.066666667,Intracellular,2.50E+00
4 uM,0.083333333,Intracellular,4.79E+00
4 uM,0.1,Intracellular,7.87E+00
4 uM,0.116666667,Intracellular,1.16E+01
4 uM,0.133333333,Intracellular,1.59E+01
4 uM,0.15,Intracellular,2.06E+01
4 uM,0.166666667,Intracellular,2.55E+01
4 uM,0.183333333,Intracellular,3.06E+01
4 uM,0.2,Intracellular,3.57E+01
4 uM,0.216666667,Intracellular,4.08E+01
4 uM,0.233333333,Intracellular,4.58E+01
,0.25,Intracellular,5.07E+01
,0.266666667,Intracellular,5.54E+01
,0.283333333,Intracellular,5.99E+01
,0.3,Intracellular,6.43E+01
,0.316666667,Intracellular,6.85E+01
,0.333333333,Intracellular,7.25E+01
,0.35,Intracellular,7.62E+01
,0.366666667,Intracellular,7.98E+01
,0.383333333,Intracellular,8.32E+01
,0.4,Intracellular,8.64E+01
,0.416666667,Intracellular,8.94E+01
,0.433333333,Intracellular,9.23E+01
,0.45,Intracellular,9.50E+01
,0.466666667,Intracellular,9.76E+01
,0.483333333,Intracellular,1.00E+02
,0.5,Intracellular,1.02E+02
,0.516666667,Intracellular,1.04E+02
,0.533333333,Intracellular,1.07E+02
,0.55,Intracellular,1.08E+02
,0.566666667,Intracellular,1.10E+02
,0.583333333,Intracellular,1.12E+02
,0.6,Intracellular,1.14E+02
,0.616666667,Intracellular,1.15E+02
,0.633333333,Intracellular,1.17E+02
,0.65,Intracellular,1.19E+02
,0.666666667,Intracellular,1.20E+02
,0.683333333,Intracellular,1.21E+02
,0.7,Intracellular,1.23E+02
,0.716666667,Intracellular,1.24E+02
,0.733333333,Intracellular,1.25E+02
,0.75,Intracellular,1.27E+02
,0.766666667,Intracellular,1.28E+02
,0.783333333,Intracellular,1.29E+02
,0.8,Intracellular,1.30E+02
,0.816666667,Intracellular,1.31E+02
,0.833333333,Intracellular,1.32E+02
,0.85,Intracellular,1.34E+02
,0.866666667,Intracellular,1.35E+02
,0.883333333,Intracellular,1.36E+02
,0.9,Intracellular,1.37E+02
,0.916666667,Intracellular,1.38E+02
,0.933333333,Intracellular,1.39E+02
,0.95,Intracellular,1.40E+02
,0.966666667,Intracellular,1.41E+02
,0.983333333,Intracellular,1.42E+02
,1,Intracellular,1.43E+02
,1.016666667,Intracellular,1.44E+02
,1.033333333,Intracellular,1.45E+02
,1.05,Intracellular,1.46E+02
,1.066666667,Intracellular,1.47E+02
,1.083333333,Intracellular,1.48E+02
,1.1,Intracellular,1.49E+02
,1.116666667,Intracellular,1.50E+02
,1.133333333,Intracellular,1.51E+02
,1.15,Intracellular,1.52E+02
,1.166666667,Intracellular,1.53E+02
,1.183333333,Intracellular,1.54E+02
,1.2,Intracellular,1.55E+02
,1.216666667,Intracellular,1.56E+02
,1.233333333,Intracellular,1.57E+02
,1.25,Intracellular,1.57E+02
,1.266666667,Intracellular,1.58E+02
,1.283333333,Intracellular,1.59E+02
,1.3,Intracellular,1.60E+02
,1.316666667,Intracellular,1.61E+02
,1.333333333,Intracellular,1.62E+02
,1.35,Intracellular,1.63E+02
,1.366666667,Intracellular,1.64E+02
,1.383333333,Intracellular,1.65E+02
,1.4,Intracellular,1.66E+02
,1.416666667,Intracellular,1.67E+02
,1.433333333,Intracellular,1.68E+02
,1.45,Intracellular,1.69E+02
,1.466666667,Intracellular,1.70E+02
,1.483333333,Intracellular,1.71E+02
,1.5,Intracellular,1.72E+02
,1.516666667,Intracellular,1.73E+02
,1.533333333,Intracellular,1.74E+02
,1.55,Intracellular,1.75E+02
,1.566666667,Intracellular,1.76E+02
,1.583333333,Intracellular,1.77E+02
,1.6,Intracellular,1.78E+02
,1.616666667,Intracellular,1.79E+02
,1.633333333,Intracellular,1.80E+02
,1.65,Intracellular,1.80E+02
,1.666666667,Intracellular,1.81E+02
,1.683333333,Intracellular,1.82E+02
,1.7,Intracellular,1.83E+02
,1.716666667,Intracellular,1.84E+02
,1.733333333,Intracellular,1.85E+02
,1.75,Intracellular,1.86E+02
,1.766666667,Intracellular,1.87E+02
,1.783333333,Intracellular,1.88E+02
,1.8,Intracellular,1.89E+02
,1.816666667,Intracellular,1.90E+02
,1.833333333,Intracellular,1.91E+02
,1.85,Intracellular,1.92E+02
,1.866666667,Intracellular,1.93E+02
,1.883333333,Intracellular,1.94E+02
,1.9,Intracellular,1.95E+02
,1.916666667,Intracellular,1.96E+02
,1.933333333,Intracellular,1.97E+02
,1.95,Intracellular,1.98E+02
,1.966666667,Intracellular,1.99E+02
,1.983333333,Intracellular,2.00E+02
,2,Intracellular,2.01E+02
,2.016666667,Intracellular,2.02E+02
,2.033333333,Intracellular,2.03E+02
,2.05,Intracellular,2.04E+02
,2.066666667,Intracellular,2.04E+02
,2.083333333,Intracellular,2.05E+02
,2.1,Intracellular,2.06E+02
,2.116666667,Intracellular,2.07E+02
,2.133333333,Intracellular,2.08E+02
,2.15,Intracellular,2.09E+02
,2.166666667,Intracellular,2.10E+02
,2.183333333,Intracellular,2.11E+02
,2.2,Intracellular,2.12E+02
,2.216666667,Intracellular,2.13E+02
,2.233333333,Intracellular,2.14E+02
,2.25,Intracellular,2.15E+02
,2.266666667,Intracellular,2.16E+02
,2.283333333,Intracellular,2.17E+02
,2.3,Intracellular,2.18E+02
,2.316666667,Intracellular,2.19E+02
,2.333333333,Intracellular,2.20E+02
,2.35,Intracellular,2.21E+02
,2.366666667,Intracellular,2.22E+02
,2.383333333,Intracellular,2.23E+02
,2.4,Intracellular,2.24E+02
,2.416666667,Intracellular,2.25E+02
,2.433333333,Intracellular,2.26E+02
,2.45,Intracellular,2.27E+02
,2.466666667,Intracellular,2.28E+02
,2.483333333,Intracellular,2.29E+02
,2.5,Intracellular,2.30E+02
,2.516666667,Intracellular,2.30E+02
,2.533333333,Intracellular,2.31E+02
,2.55,Intracellular,2.32E+02
,2.566666667,Intracellular,2.33E+02
,2.583333333,Intracellular,2.34E+02
,2.6,Intracellular,2.35E+02
,2.616666667,Intracellular,2.36E+02
,2.633333333,Intracellular,2.37E+02
,2.65,Intracellular,2.38E+02
,2.666666667,Intracellular,2.39E+02
,2.683333333,Intracellular,2.40E+02
,2.7,Intracellular,2.41E+02
,2.716666667,Intracellular,2.42E+02
,2.733333333,Intracellular,2.43E+02
,2.75,Intracellular,2.44E+02
,2.766666667,Intracellular,2.45E+02
,2.783333333,Intracellular,2.46E+02
,2.8,Intracellular,2.47E+02
,2.816666667,Intracellular,2.48E+02
,2.833333333,Intracellular,2.49E+02
,2.85,Intracellular,2.50E+02
,2.866666667,Intracellular,2.51E+02
,2.883333333,Intracellular,2.52E+02
,2.9,Intracellular,2.53E+02
,2.916666667,Intracellular,2.54E+02
,2.933333333,Intracellular,2.55E+02
