Concentration,Time,zmol/cell,StDev-zmol/cell,Type,Uptake,StDev
4 uM,0,0,1.815095382,Intracellular,0,0.045377385
4 uM,0.5,2.755741168,2.21882373,Intracellular,0.068893529,0.055470593
4 uM,1,6.585256066,3.326104382,Intracellular,0.164631402,0.08315261
4 uM,5,37.78448376,5.775304218,Intracellular,0.944612094,0.144382606
4 uM,10,78.23534859,7.509998962,Intracellular,1.955883715,0.187749974
4 uM,0,0,9.248050092,Total,0,0.231201252
4 uM,0.5,16.906,8.293259194,Total,0.307679147,0.150932386
4 uM,1,28.568,8.281565607,Total,0.535590206,0.155262021
4 uM,5,142.567,9.354962709,Total,2.712817056,0.178009654
4 uM,10,273.438,10.50928306,Total,5.249928457,0.201775116
4 uM,0,0,6.664120413,Oxidized,0,0.112457032
4 uM,0.5,14.15,5.412099955,Oxidized,0.23878125,0.091329187
4 uM,1,21.983,5.936059163,Oxidized,0.370963125,0.100170998
4 uM,5,104.782,8.744081726,Oxidized,1.76819625,0.147556379
4 uM,10,195.203,11.06501757,Oxidized,3.294050625,0.186722172
