Concentration,Time,zmol/cell,StDev-zmol/cell,Type,Uptake,StDev
4 uM,0,0,5.144693466,Intracellular,0,0.128617337
4 uM,0.5,2.802704726,4.176303711,Intracellular,0.070067618,0.104407593
4 uM,1,7.883950174,1.756019907,Intracellular,0.197098754,0.043900498
4 uM,5,44.12600125,15.16682213,Intracellular,1.103150031,0.379170553
4 uM,0,0,15.43230055,Total,0,0.385807514
4 uM,0.5,4.704809782,4.49362157,Total,0.102165641,0.097579658
4 uM,1,22.04484929,7.082745908,Total,0.436063927,0.140102114
4 uM,5,81.70298223,5.225060047,Total,1.737261585,0.11110116
4 uM,0,0,11.50269036,Oxidized,0,0.1941079
4 uM,0.5,1.902105056,5.962107612,Oxidized,0.032098023,0.100610566
4 uM,1,14.16089912,7.152725018,Oxidized,0.238965173,0.120702235
4 uM,5,37.57698098,15.97643032,Oxidized,0.634111554,0.269602262
