Concentration,Time,Type,Uptake
4 uM,0,Intracellular,0
4 uM,0.016666667,Intracellular,1.00E-11
4 uM,0.033333333,Intracellular,0.258499324
4 uM,0.05,Intracellular,1.022327037
4 uM,0.066666667,Intracellular,2.497703197
4 uM,0.083333333,Intracellular,4.788629433
4 uM,0.1,Intracellular,7.870716596
4 uM,0.116666667,Intracellular,11.63152218
4 uM,0.133333333,Intracellular,15.9229417
4 uM,0.15,Intracellular,20.59638409
4 uM,0.166666667,Intracellular,25.51921417
4 uM,0.183333333,Intracellular,30.57989212
,0.2,Intracellular,35.68785984
,0.216666667,Intracellular,40.77142239
,0.233333333,Intracellular,45.77508814
,0.25,Intracellular,50.65695769
,0.266666667,Intracellular,55.38637021
,0.283333333,Intracellular,59.94185901
,0.3,Intracellular,64.30940824
,0.316666667,Intracellular,68.48098167
,0.333333333,Intracellular,72.4532898
,0.35,Intracellular,76.22676235
,0.366666667,Intracellular,79.80469649
,0.383333333,Intracellular,83.19255444
,0.4,Intracellular,86.39738774
,0.416666667,Intracellular,89.42736832
,0.433333333,Intracellular,92.29140945
,0.45,Intracellular,94.99886204
,0.466666667,Intracellular,97.55927373
,0.483333333,Intracellular,99.98220022
,0.5,Intracellular,102.2770598
,0.516666667,Intracellular,104.4530233
,0.533333333,Intracellular,106.5189336
,0.55,Intracellular,108.4832479
,0.566666667,Intracellular,110.3539998
,0.583333333,Intracellular,112.1387766
,0.6,Intracellular,113.8447081
,0.616666667,Intracellular,115.4784655
,0.633333333,Intracellular,117.0462672
,0.65,Intracellular,118.5538902
,0.666666667,Intracellular,120.0066857
,0.683333333,Intracellular,121.4095972
,0.7,Intracellular,122.767181
,0.716666667,Intracellular,124.0836271
,0.733333333,Intracellular,125.3627819
,0.75,Intracellular,126.6081696
,0.766666667,Intracellular,127.8230142
,0.783333333,Intracellular,129.0102609
,0.8,Intracellular,130.1725961
,0.816666667,Intracellular,131.3124678
,0.833333333,Intracellular,132.4321034
,0.85,Intracellular,133.5335279
,0.866666667,Intracellular,134.6185802
,0.883333333,Intracellular,135.6889286
,0.9,Intracellular,136.7460853
,0.916666667,Intracellular,137.79142
,0.933333333,Intracellular,138.8261719
,0.95,Intracellular,139.8514615
,0.966666667,Intracellular,140.8683011
,0.983333333,Intracellular,141.8776047
,1,Intracellular,142.8801967
,1.016666667,Intracellular,143.8768202
,1.033333333,Intracellular,144.8681447
,1.05,Intracellular,145.8547725
,1.066666667,Intracellular,146.8372457
,1.083333333,Intracellular,147.816051
,1.1,Intracellular,148.7916259
,1.116666667,Intracellular,149.7643626
,1.133333333,Intracellular,150.7346127
,1.15,Intracellular,151.7026913
,1.166666667,Intracellular,152.6688801
,1.183333333,Intracellular,153.633431
,1.2,Intracellular,154.5965689
,1.216666667,Intracellular,155.5584943
,1.233333333,Intracellular,156.5193858
,1.25,Intracellular,157.4794023
,1.266666667,Intracellular,158.438685
,1.283333333,Intracellular,159.3973588
,1.3,Intracellular,160.3555345
,1.316666667,Intracellular,161.31331
,1.333333333,Intracellular,162.2707714
,1.35,Intracellular,163.2279945
,1.366666667,Intracellular,164.1850458
,1.383333333,Intracellular,165.1419834
,1.4,Intracellular,166.0988578
,1.416666667,Intracellular,167.055713
,1.433333333,Intracellular,168.0125869
,1.45,Intracellular,168.9695121
,1.466666667,Intracellular,169.9265163
,1.483333333,Intracellular,170.8836232
,1.5,Intracellular,171.8408524
,1.516666667,Intracellular,172.7982203
,1.533333333,Intracellular,173.7557405
,1.55,Intracellular,174.7134236
,1.566666667,Intracellular,175.6712782
,1.583333333,Intracellular,176.6293105
,1.6,Intracellular,177.5875252
,1.616666667,Intracellular,178.5459252
,1.633333333,Intracellular,179.5045121
,1.65,Intracellular,180.4632862
,1.666666667,Intracellular,181.4222468
,1.683333333,Intracellular,182.3813923
,1.7,Intracellular,183.3407203
,1.716666667,Intracellular,184.3002276
,1.733333333,Intracellular,185.2599106
,1.75,Intracellular,186.2197651
,1.766666667,Intracellular,187.1797866
,1.783333333,Intracellular,188.13997
,1.8,Intracellular,189.1003103
,1.816666667,Intracellular,190.060802
,1.833333333,Intracellular,191.0214395
,1.85,Intracellular,191.9822172
,1.866666667,Intracellular,192.9431292
,1.883333333,Intracellular,193.9041697
,1.9,Intracellular,194.8653329
,1.916666667,Intracellular,195.8266128
,1.933333333,Intracellular,196.7880036
,1.95,Intracellular,197.7494996
,1.966666667,Intracellular,198.7110951
,1.983333333,Intracellular,199.6727842
,2,Intracellular,200.6345616
,2.016666667,Intracellular,201.5964216
,2.033333333,Intracellular,202.558359
,2.05,Intracellular,203.5203685
,2.066666667,Intracellular,204.4824449
,2.083333333,Intracellular,205.4445833
,2.1,Intracellular,206.4067788
,2.116666667,Intracellular,207.3690266
,2.133333333,Intracellular,208.3313221
,2.15,Intracellular,209.2936609
,2.166666667,Intracellular,210.2560385
,2.183333333,Intracellular,211.2184508
,2.2,Intracellular,212.1808937
,2.216666667,Intracellular,213.1433633
,2.233333333,Intracellular,214.1058557
,2.25,Intracellular,215.0683673
,2.266666667,Intracellular,216.0308944
,2.283333333,Intracellular,216.9934338
,2.3,Intracellular,217.955982
,2.316666667,Intracellular,218.9185359
,2.333333333,Intracellular,219.8810925
,2.35,Intracellular,220.8436487
,2.366666667,Intracellular,221.8062018
,2.383333333,Intracellular,222.7687491
,2.4,Intracellular,223.7312879
,2.416666667,Intracellular,224.6938157
,2.433333333,Intracellular,225.6563302
,2.45,Intracellular,226.618829
,2.466666667,Intracellular,227.5813099
,2.483333333,Intracellular,228.5437709
,2.5,Intracellular,229.50621
,2.516666667,Intracellular,230.4686251
,2.533333333,Intracellular,231.4310144
,2.55,Intracellular,232.3933763
,2.566666667,Intracellular,233.3557091
,2.583333333,Intracellular,234.318011
,2.6,Intracellular,235.2802807
,2.616666667,Intracellular,236.2425167
,2.633333333,Intracellular,237.2047176
