Concentration,Time,Type,Uptake
4000 nM,0,Intracellular,0
4000 nM,0.016666667,Intracellular,0
4000 nM,0.033333333,Intracellular,0.26
4000 nM,0.05,Intracellular,1.02
4000 nM,0.066666667,Intracellular,2.5
4000 nM,0.083333333,Intracellular,4.79
4000 nM,0.1,Intracellular,7.87
4000 nM,0.116666667,Intracellular,11.63
4000 nM,0.133333333,Intracellular,15.92
4000 nM,0.15,Intracellular,20.6
4000 nM,0.166666667,Intracellular,25.52
4000 nM,0.183333333,Intracellular,30.58
4000 nM,0.2,Intracellular,35.69
4000 nM,0.216666667,Intracellular,40.77
4000 nM,0.233333333,Intracellular,45.78
4000 nM,0.25,Intracellular,50.66
4000 nM,0.266666667,Intracellular,55.39
4000 nM,0.283333333,Intracellular,59.94
4000 nM,0.3,Intracellular,64.31
4000 nM,0.316666667,Intracellular,68.48
4000 nM,0.333333333,Intracellular,72.45
4000 nM,0.35,Intracellular,76.23
4000 nM,0.366666667,Intracellular,79.8
4000 nM,0.383333333,Intracellular,83.19
4000 nM,0.4,Intracellular,86.4
4000 nM,0.416666667,Intracellular,89.43
4000 nM,0.433333333,Intracellular,92.29
4000 nM,0.45,Intracellular,95
4000 nM,0.466666667,Intracellular,97.56
4000 nM,0.483333333,Intracellular,99.98
4000 nM,0.5,Intracellular,102.28
4000 nM,0.516666667,Intracellular,104.45
4000 nM,0.533333333,Intracellular,106.52
4000 nM,0.55,Intracellular,108.48
4000 nM,0.566666667,Intracellular,110.35
4000 nM,0.583333333,Intracellular,112.14
4000 nM,0.6,Intracellular,113.84
4000 nM,0.616666667,Intracellular,115.48
4000 nM,0.633333333,Intracellular,117.05
4000 nM,0.65,Intracellular,118.55
4000 nM,0.666666667,Intracellular,120.01
4000 nM,0.683333333,Intracellular,121.41
4000 nM,0.7,Intracellular,122.77
4000 nM,0.716666667,Intracellular,124.08
4000 nM,0.733333333,Intracellular,125.36
4000 nM,0.75,Intracellular,126.61
4000 nM,0.766666667,Intracellular,127.82
4000 nM,0.783333333,Intracellular,129.01
4000 nM,0.8,Intracellular,130.17
4000 nM,0.816666667,Intracellular,131.31
4000 nM,0.833333333,Intracellular,132.43
4000 nM,0.85,Intracellular,133.53
4000 nM,0.866666667,Intracellular,134.62
4000 nM,0.883333333,Intracellular,135.69
4000 nM,0.9,Intracellular,136.75
4000 nM,0.916666667,Intracellular,137.79
4000 nM,0.933333333,Intracellular,138.83
4000 nM,0.95,Intracellular,139.85
4000 nM,0.966666667,Intracellular,140.87
4000 nM,0.983333333,Intracellular,141.88
4000 nM,1,Intracellular,142.88
1000 nM,0,Intracellular,0
1000 nM,0.016666667,Intracellular,1.00E-11
1000 nM,0.033333333,Intracellular,0.258034208
1000 nM,0.05,Intracellular,1.019848683
1000 nM,0.066666667,Intracellular,2.490561019
1000 nM,0.083333333,Intracellular,4.773630914
1000 nM,0.1,Intracellular,7.844876723
1000 nM,0.116666667,Intracellular,11.592514
1000 nM,0.133333333,Intracellular,15.86919141
1000 nM,0.15,Intracellular,20.52697929
1000 nM,0.166666667,Intracellular,25.43376235
1000 nM,0.183333333,Intracellular,30.47838894
1000 nM,0.2,Intracellular,35.57058215
1000 nM,0.216666667,Intracellular,40.63884563
1000 nM,0.233333333,Intracellular,45.62782338
1000 nM,0.25,Intracellular,50.49570396
1000 nM,0.266666667,Intracellular,55.21187831
1000 nM,0.283333333,Intracellular,59.75490432
1000 nM,0.3,Intracellular,64.11077025
1000 nM,0.316666667,Intracellular,68.27142893
1000 nM,0.333333333,Intracellular,72.23356888
1000 nM,0.35,Intracellular,75.99759014
1000 nM,0.366666667,Intracellular,79.56675493
1000 nM,0.383333333,Intracellular,82.94648727
1000 nM,0.4,Intracellular,86.14379871
1000 nM,0.416666667,Intracellular,89.1668206
1000 nM,0.433333333,Intracellular,92.02442588
1000 nM,0.45,Intracellular,94.72592603
1000 nM,0.466666667,Intracellular,97.28083061
1000 nM,0.483333333,Intracellular,99.69865894
1000 nM,0.5,Intracellular,101.9887948
1000 nM,0.516666667,Intracellular,104.1603767
1000 nM,0.533333333,Intracellular,106.222217
1000 nM,0.55,Intracellular,108.1827446
1000 nM,0.566666667,Intracellular,110.0499669
1000 nM,0.583333333,Intracellular,111.831447
1000 nM,0.6,Intracellular,113.5342923
1000 nM,0.616666667,Intracellular,115.1651535
1000 nM,0.633333333,Intracellular,116.7302301
1000 nM,0.65,Intracellular,118.2352822
1000 nM,0.666666667,Intracellular,119.685645
1000 nM,0.683333333,Intracellular,121.0862478
1000 nM,0.7,Intracellular,122.4416339
1000 nM,0.716666667,Intracellular,123.7559816
1000 nM,0.733333333,Intracellular,125.0331265
1000 nM,0.75,Intracellular,126.276583
1000 nM,0.766666667,Intracellular,127.4895665
1000 nM,0.783333333,Intracellular,128.6750141
1000 nM,0.8,Intracellular,129.8356053
1000 nM,0.816666667,Intracellular,130.9737813
1000 nM,0.833333333,Intracellular,132.0917638
1000 nM,0.85,Intracellular,133.1915725
1000 nM,0.866666667,Intracellular,134.2750416
1000 nM,0.883333333,Intracellular,135.3438352
1000 nM,0.9,Intracellular,136.3994617
1000 nM,0.916666667,Intracellular,137.4432872
1000 nM,0.933333333,Intracellular,138.4765478
1000 nM,0.95,Intracellular,139.5003615
1000 nM,0.966666667,Intracellular,140.5157379
1000 nM,0.983333333,Intracellular,141.5235888
1000 nM,1,Intracellular,142.5247367
250 nM,0,Intracellular,0
250 nM,0.016666667,Intracellular,1.00E-11
250 nM,0.033333333,Intracellular,0.256336217
250 nM,0.05,Intracellular,1.01081738
250 nM,0.066666667,Intracellular,2.464561996
250 nM,0.083333333,Intracellular,4.719059966
250 nM,0.1,Intracellular,7.750871712
250 nM,0.116666667,Intracellular,11.45059137
250 nM,0.133333333,Intracellular,15.67359874
250 nM,0.15,Intracellular,20.27436837
250 nM,0.166666667,Intracellular,25.12267889
250 nM,0.183333333,Intracellular,30.10879475
250 nM,0.2,Intracellular,35.14346663
250 nM,0.216666667,Intracellular,40.15592486
250 nM,0.233333333,Intracellular,45.09131067
250 nM,0.25,Intracellular,49.90813568
250 nM,0.266666667,Intracellular,54.57598197
250 nM,0.283333333,Intracellular,59.07349888
250 nM,0.3,Intracellular,63.38669147
250 nM,0.316666667,Intracellular,67.50747398
250 nM,0.333333333,Intracellular,71.43245612
250 nM,0.35,Intracellular,75.16193065
250 nM,0.366666667,Intracellular,78.69903328
250 nM,0.383333333,Intracellular,82.04904938
250 nM,0.4,Intracellular,85.21884533
250 nM,0.416666667,Intracellular,88.21640491
250 nM,0.433333333,Intracellular,91.05045437
250 nM,0.45,Intracellular,93.73016167
250 nM,0.466666667,Intracellular,96.26489778
250 nM,0.483333333,Intracellular,98.66404954
250 nM,0.5,Intracellular,100.9368751
250 nM,0.516666667,Intracellular,103.0923947
250 nM,0.533333333,Intracellular,105.1393099
250 nM,0.55,Intracellular,107.0859466
250 nM,0.566666667,Intracellular,108.9402164
250 nM,0.583333333,Intracellular,110.7095939
250 nM,0.6,Intracellular,112.4011052
250 nM,0.616666667,Intracellular,114.021326
250 nM,0.633333333,Intracellular,115.5763874
250 nM,0.65,Intracellular,117.0719864
250 nM,0.666666667,Intracellular,118.5134012
250 nM,0.683333333,Intracellular,119.905509
250 nM,0.7,Intracellular,121.2528055
250 nM,0.716666667,Intracellular,122.5594259
250 nM,0.733333333,Intracellular,123.8291668
250 nM,0.75,Intracellular,125.0655071
250 nM,0.766666667,Intracellular,126.2716302
250 nM,0.783333333,Intracellular,127.4504441
250 nM,0.8,Intracellular,128.6046021
250 nM,0.816666667,Intracellular,129.7365219
250 nM,0.833333333,Intracellular,130.8484039
250 nM,0.85,Intracellular,131.9422485
250 nM,0.866666667,Intracellular,133.0198726
250 nM,0.883333333,Intracellular,134.0829247
250 nM,0.9,Intracellular,135.1328993
250 nM,0.916666667,Intracellular,136.17115
250 nM,0.933333333,Intracellular,137.1989016
250 nM,0.95,Intracellular,138.2172618
250 nM,0.966666667,Intracellular,139.2272315
250 nM,0.983333333,Intracellular,140.2297141
250 nM,1,Intracellular,141.225525
62.5 nM,0,Intracellular,0
62.5 nM,0.016666667,Intracellular,1.00E-11
62.5 nM,0.033333333,Intracellular,0.250495095
62.5 nM,0.05,Intracellular,0.979946714
62.5 nM,0.066666667,Intracellular,2.376023965
62.5 nM,0.083333333,Intracellular,4.53354637
62.5 nM,0.1,Intracellular,7.431446191
62.5 nM,0.116666667,Intracellular,10.96821702
62.5 nM,0.133333333,Intracellular,15.00841153
62.5 nM,0.15,Intracellular,19.41464909
62.5 nM,0.166666667,Intracellular,24.06316982
62.5 nM,0.183333333,Intracellular,28.84909795
62.5 nM,0.2,Intracellular,33.68672906
62.5 nM,0.216666667,Intracellular,38.50781317
62.5 nM,0.233333333,Intracellular,43.25922591
62.5 nM,0.25,Intracellular,47.9006149
62.5 nM,0.266666667,Intracellular,52.40224343
62.5 nM,0.283333333,Intracellular,56.74309764
62.5 nM,0.3,Intracellular,60.90926048
62.5 nM,0.316666667,Intracellular,64.89253155
62.5 nM,0.333333333,Intracellular,68.68926547
62.5 nM,0.35,Intracellular,72.29940003
62.5 nM,0.366666667,Intracellular,75.72564792
62.5 nM,0.383333333,Intracellular,78.97282825
62.5 nM,0.4,Intracellular,82.04731698
62.5 nM,0.416666667,Intracellular,84.95659811
62.5 nM,0.433333333,Intracellular,87.70889979
62.5 nM,0.45,Intracellular,90.31290189
62.5 nM,0.466666667,Intracellular,92.7775033
62.5 nM,0.483333333,Intracellular,95.11163893
62.5 nM,0.5,Intracellular,97.32413807
62.5 nM,0.516666667,Intracellular,99.42361664
62.5 nM,0.533333333,Intracellular,101.4183975
62.5 nM,0.55,Intracellular,103.3164534
62.5 nM,0.566666667,Intracellular,105.1253683
62.5 nM,0.583333333,Intracellular,106.8523135
62.5 nM,0.6,Intracellular,108.5040358
62.5 nM,0.616666667,Intracellular,110.086854
62.5 nM,0.633333333,Intracellular,111.6066638
62.5 nM,0.65,Intracellular,113.0689467
62.5 nM,0.666666667,Intracellular,114.4787843
62.5 nM,0.683333333,Intracellular,115.8408743
62.5 nM,0.7,Intracellular,117.1595495
62.5 nM,0.716666667,Intracellular,118.4387969
62.5 nM,0.733333333,Intracellular,119.6822784
62.5 nM,0.75,Intracellular,120.8933513
62.5 nM,0.766666667,Intracellular,122.0750883
62.5 nM,0.783333333,Intracellular,123.2302978
62.5 nM,0.8,Intracellular,124.361543
62.5 nM,0.816666667,Intracellular,125.4711599
62.5 nM,0.833333333,Intracellular,126.5612757
62.5 nM,0.85,Intracellular,127.6338247
62.5 nM,0.866666667,Intracellular,128.6905641
62.5 nM,0.883333333,Intracellular,129.7330889
62.5 nM,0.9,Intracellular,130.7628454
62.5 nM,0.916666667,Intracellular,131.7811438
62.5 nM,0.933333333,Intracellular,132.7891701
62.5 nM,0.95,Intracellular,133.7879973
