Concentration,Time,Type,Group,Uptake
4 uM,0,Intracellular,model,0
,0.02,Intracellular,model,0
,0.03,Intracellular,model,133.69
,0.05,Intracellular,model,267.38
,0.07,Intracellular,model,399.07
,0.08,Intracellular,model,529.23
,0.1,Intracellular,model,658.24
,0.12,Intracellular,model,786.37
,0.13,Intracellular,model,913.77
,0.15,Intracellular,model,1040.58
,0.17,Intracellular,model,1166.87
,0.18,Intracellular,model,1292.72
,0.2,Intracellular,model,1418.19
,0.22,Intracellular,model,1543.3
,0.23,Intracellular,model,1668.1
,0.25,Intracellular,model,1792.61
,0.27,Intracellular,model,1916.86
,0.28,Intracellular,model,2040.86
,0.3,Intracellular,model,2164.64
,0.32,Intracellular,model,2288.2
,0.33,Intracellular,model,2411.55
,0.35,Intracellular,model,2534.71
,0.37,Intracellular,model,2657.69
,0.38,Intracellular,model,2780.49
,0.4,Intracellular,model,2903.12
,0.42,Intracellular,model,3025.59
,0.43,Intracellular,model,3147.89
,0.45,Intracellular,model,3270.04
,0.47,Intracellular,model,3392.05
,0.48,Intracellular,model,3513.9
,0.5,Intracellular,model,3635.61
,0.52,Intracellular,model,3757.18
,0.53,Intracellular,model,3878.61
,0.55,Intracellular,model,3999.91
,0.57,Intracellular,model,4121.06
,0.58,Intracellular,model,4242.09
,0.6,Intracellular,model,4362.99
,0.62,Intracellular,model,4483.75
,0.63,Intracellular,model,4604.39
,0.65,Intracellular,model,4724.9
,0.67,Intracellular,model,4845.28
,0.68,Intracellular,model,4965.53
,0.7,Intracellular,model,5085.66
,0.72,Intracellular,model,5205.66
,0.73,Intracellular,model,5325.54
,0.75,Intracellular,model,5445.3
,0.77,Intracellular,model,5564.93
,0.78,Intracellular,model,5684.43
,0.8,Intracellular,model,5803.82
,0.82,Intracellular,model,5923.08
,0.83,Intracellular,model,6042.21
,0.85,Intracellular,model,6161.23
,0.87,Intracellular,model,6280.12
,0.88,Intracellular,model,6398.88
,0.9,Intracellular,model,6517.53
,0.92,Intracellular,model,6636.05
,0.93,Intracellular,model,6754.44
,0.95,Intracellular,model,6872.71
,0.97,Intracellular,model,6990.86
,0.98,Intracellular,model,7108.89
,1,Intracellular,model,7226.79
,1.02,Intracellular,model,7344.56
,1.03,Intracellular,model,7462.21
,1.05,Intracellular,model,7579.74
,1.07,Intracellular,model,7697.14
,1.08,Intracellular,model,7814.41
,1.1,Intracellular,model,7931.56
,1.12,Intracellular,model,8048.58
,1.13,Intracellular,model,8165.47
,1.15,Intracellular,model,8282.24
,1.17,Intracellular,model,8398.88
,1.18,Intracellular,model,8515.39
,1.2,Intracellular,model,8631.78
,1.22,Intracellular,model,8748.04
,1.23,Intracellular,model,8864.16
,1.25,Intracellular,model,8980.16
,1.27,Intracellular,model,9096.03
,1.28,Intracellular,model,9211.77
,1.3,Intracellular,model,9327.38
,1.32,Intracellular,model,9442.86
,1.33,Intracellular,model,9558.21
,1.35,Intracellular,model,9673.43
,1.37,Intracellular,model,9788.51
,1.38,Intracellular,model,9903.47
,1.4,Intracellular,model,10018.29
,1.42,Intracellular,model,10132.98
,1.43,Intracellular,model,10247.53
,1.45,Intracellular,model,10361.96
,1.47,Intracellular,model,10476.24
,1.48,Intracellular,model,10590.4
,1.5,Intracellular,model,10704.42
,1.52,Intracellular,model,10818.31
,1.53,Intracellular,model,10932.06
,1.55,Intracellular,model,11045.67
,1.57,Intracellular,model,11159.15
,1.58,Intracellular,model,11272.5
,1.6,Intracellular,model,11385.71
,1.62,Intracellular,model,11498.78
,1.63,Intracellular,model,11611.71
,1.65,Intracellular,model,11724.51
,1.67,Intracellular,model,11837.17
,1.68,Intracellular,model,11949.69
,1.7,Intracellular,model,12062.07
,1.72,Intracellular,model,12174.31
,1.73,Intracellular,model,12286.42
,1.75,Intracellular,model,12398.39
,1.77,Intracellular,model,12510.21
,1.78,Intracellular,model,12621.9
,1.8,Intracellular,model,12733.45
,1.82,Intracellular,model,12844.85
,1.83,Intracellular,model,12956.12
,1.85,Intracellular,model,13067.24
,1.87,Intracellular,model,13178.23
,1.88,Intracellular,model,13289.07
,1.9,Intracellular,model,13399.77
,1.92,Intracellular,model,13510.33
,1.93,Intracellular,model,13620.75
,1.95,Intracellular,model,13731.02
,1.97,Intracellular,model,13841.15
,1.98,Intracellular,model,13951.14
,2,Intracellular,model,14060.98
,2.02,Intracellular,model,14170.68
,2.03,Intracellular,model,14280.24
,2.05,Intracellular,model,14389.65
,2.07,Intracellular,model,14498.92
,2.08,Intracellular,model,14608.05
,2.1,Intracellular,model,14717.03
,2.12,Intracellular,model,14825.86
,2.13,Intracellular,model,14934.55
,2.15,Intracellular,model,15043.1
,2.17,Intracellular,model,15151.49
,2.18,Intracellular,model,15259.75
,2.2,Intracellular,model,15367.85
,2.22,Intracellular,model,15475.81
,2.23,Intracellular,model,15583.63
,2.25,Intracellular,model,15691.29
,2.27,Intracellular,model,15798.81
,2.28,Intracellular,model,15906.19
,2.3,Intracellular,model,16013.41
,2.32,Intracellular,model,16120.49
,2.33,Intracellular,model,16227.42
,2.35,Intracellular,model,16334.21
,2.37,Intracellular,model,16440.84
,2.38,Intracellular,model,16547.33
,2.4,Intracellular,model,16653.67
,2.42,Intracellular,model,16759.85
,2.43,Intracellular,model,16865.9
,2.45,Intracellular,model,16971.79
,2.47,Intracellular,model,17077.53
,2.48,Intracellular,model,17183.12
,2.5,Intracellular,model,17288.57
,2.52,Intracellular,model,17393.86
,2.53,Intracellular,model,17499.01
,2.55,Intracellular,model,17604
,2.57,Intracellular,model,17708.85
,2.58,Intracellular,model,17813.54
,2.6,Intracellular,model,17918.08
,2.62,Intracellular,model,18022.48
,2.63,Intracellular,model,18126.72
,2.65,Intracellular,model,18230.81
,2.67,Intracellular,model,18334.75
,2.68,Intracellular,model,18438.54
,2.7,Intracellular,model,18542.18
,2.72,Intracellular,model,18645.67
,2.73,Intracellular,model,18749
,2.75,Intracellular,model,18852.19
,2.77,Intracellular,model,18955.22
,2.78,Intracellular,model,19058.1
,2.8,Intracellular,model,19160.83
,2.82,Intracellular,model,19263.4
,2.83,Intracellular,model,19365.83
,2.85,Intracellular,model,19468.1
,2.87,Intracellular,model,19570.22
,2.88,Intracellular,model,19672.18
,2.9,Intracellular,model,19773.99
,2.92,Intracellular,model,19875.65
,2.93,Intracellular,model,19977.16
,2.95,Intracellular,model,20078.51
,2.97,Intracellular,model,20179.71
,2.98,Intracellular,model,20280.76
,3,Intracellular,model,20381.66
,0,Oxidized,model,0
,0.02,Oxidized,model,0
,0.03,Oxidized,model,0
,0.05,Oxidized,model,10.14
,0.07,Oxidized,model,28.03
,0.08,Oxidized,model,51.71
,0.1,Oxidized,model,79.89
,0.12,Oxidized,model,111.71
,0.13,Oxidized,model,146.56
,0.15,Oxidized,model,183.98
,0.17,Oxidized,model,223.63
,0.18,Oxidized,model,265.25
,0.2,Oxidized,model,308.62
,0.22,Oxidized,model,353.58
,0.23,Oxidized,model,399.98
,0.25,Oxidized,model,447.71
,0.27,Oxidized,model,496.66
,0.28,Oxidized,model,546.77
