Concentration,Time,zmoles/cell,stdev zmoles,Type,Uptake,StDev
62 nM,0,0,6.373754975,Intracellular,0,0.0849834
62 nM,5,442.9741015,44.24692956,Intracellular,5.906321353,0.589959061
62 nM,10,558.0206634,18.21931798,Intracellular,7.440275512,0.24292424
62 nM,20,529.9151139,31.27869344,Intracellular,7.065534852,0.417049246
62 nM,40,511.928817,22.62557195,Intracellular,6.82571756,0.301674293
62 nM,0,0,6.056615301,Total,0,0.080754871
62 nM,5,661.421,68.43547746,Total,8.818946667,0.814530506
62 nM,10,981.85,63.07843845,Total,11.25473954,0.723054841
62 nM,20,1184.163,29.16356521,Total,12.95376583,0.319025332
62 nM,40,1159.067,6.797401042,Total,12.64996121,0.074186272
62 nM,0,0,6.217207628,Oxidized,0,0.055954869
62 nM,5,218.447,81.25608704,Oxidized,1.966023,0.731304783
62 nM,10,423.829,65.36190996,Oxidized,3.814461,0.58825719
62 nM,20,654.247,42.31095046,Oxidized,5.888223,0.380798554
62 nM,40,647.138,22.7918296,Oxidized,5.824242,0.205126466
