Concentration,Time,Type,Uptake
62 nM,0,Intracellular,0.00E+00
,0.016666667,Intracellular,1.00E-11
,0.033333333,Intracellular,1.37E+01
,0.05,Intracellular,2.74E+01
,0.066666667,Intracellular,4.09E+01
,0.083333333,Intracellular,5.41E+01
,0.1,Intracellular,6.71E+01
,0.116666667,Intracellular,7.98E+01
,0.133333333,Intracellular,9.24E+01
,0.15,Intracellular,1.05E+02
,0.166666667,Intracellular,1.17E+02
,0.183333333,Intracellular,1.29E+02
,0.2,Intracellular,1.41E+02
,0.216666667,Intracellular,1.53E+02
,0.233333333,Intracellular,1.64E+02
,0.25,Intracellular,1.76E+02
,0.266666667,Intracellular,1.87E+02
,0.283333333,Intracellular,1.98E+02
,0.3,Intracellular,2.09E+02
,0.316666667,Intracellular,2.20E+02
,0.333333333,Intracellular,2.31E+02
,0.35,Intracellular,2.42E+02
,0.366666667,Intracellular,2.52E+02
,0.383333333,Intracellular,2.63E+02
,0.4,Intracellular,2.73E+02
,0.416666667,Intracellular,2.84E+02
,0.433333333,Intracellular,2.94E+02
,0.45,Intracellular,3.04E+02
,0.466666667,Intracellular,3.15E+02
,0.483333333,Intracellular,3.25E+02
,0.5,Intracellular,3.35E+02
,0.516666667,Intracellular,3.45E+02
,0.533333333,Intracellular,3.55E+02
,0.55,Intracellular,3.64E+02
,0.566666667,Intracellular,3.74E+02
,0.583333333,Intracellular,3.84E+02
,0.6,Intracellular,3.94E+02
,0.616666667,Intracellular,4.03E+02
,0.633333333,Intracellular,4.13E+02
,0.65,Intracellular,4.22E+02
,0.666666667,Intracellular,4.32E+02
,0.683333333,Intracellular,4.41E+02
,0.7,Intracellular,4.50E+02
,0.716666667,Intracellular,4.60E+02
,0.733333333,Intracellular,4.69E+02
,0.75,Intracellular,4.78E+02
,0.766666667,Intracellular,4.87E+02
,0.783333333,Intracellular,4.97E+02
,0.8,Intracellular,5.06E+02
,0.816666667,Intracellular,5.15E+02
,0.833333333,Intracellular,5.24E+02
,0.85,Intracellular,5.33E+02
,0.866666667,Intracellular,5.42E+02
,0.883333333,Intracellular,5.51E+02
,0.9,Intracellular,5.60E+02
,0.916666667,Intracellular,5.69E+02
,0.933333333,Intracellular,5.77E+02
,0.95,Intracellular,5.86E+02
,0.966666667,Intracellular,5.95E+02
,0.983333333,Intracellular,6.04E+02
,1,Intracellular,6.12E+02
,1.016666667,Intracellular,6.21E+02
,1.033333333,Intracellular,6.30E+02
,1.05,Intracellular,6.38E+02
,1.066666667,Intracellular,6.47E+02
,1.083333333,Intracellular,6.56E+02
,1.1,Intracellular,6.64E+02
,1.116666667,Intracellular,6.73E+02
,1.133333333,Intracellular,6.81E+02
,1.15,Intracellular,6.90E+02
,1.166666667,Intracellular,6.98E+02
,1.183333333,Intracellular,7.06E+02
,1.2,Intracellular,7.15E+02
,1.216666667,Intracellular,7.23E+02
,1.233333333,Intracellular,7.32E+02
,1.25,Intracellular,7.40E+02
,1.266666667,Intracellular,7.48E+02
,1.283333333,Intracellular,7.57E+02
,1.3,Intracellular,7.65E+02
,1.316666667,Intracellular,7.73E+02
,1.333333333,Intracellular,7.81E+02
,1.35,Intracellular,7.89E+02
,1.366666667,Intracellular,7.98E+02
,1.383333333,Intracellular,8.06E+02
,1.4,Intracellular,8.14E+02
,1.416666667,Intracellular,8.22E+02
,1.433333333,Intracellular,8.30E+02
,1.45,Intracellular,8.38E+02
,1.466666667,Intracellular,8.46E+02
,1.483333333,Intracellular,8.54E+02
,1.5,Intracellular,8.63E+02
,1.516666667,Intracellular,8.71E+02
,1.533333333,Intracellular,8.79E+02
,1.55,Intracellular,8.87E+02
,1.566666667,Intracellular,8.94E+02
,1.583333333,Intracellular,9.02E+02
,1.6,Intracellular,9.10E+02
,1.616666667,Intracellular,9.18E+02
,1.633333333,Intracellular,9.26E+02
,1.65,Intracellular,9.34E+02
,1.666666667,Intracellular,9.42E+02
,1.683333333,Intracellular,9.50E+02
,1.7,Intracellular,9.58E+02
,1.716666667,Intracellular,9.65E+02
,1.733333333,Intracellular,9.73E+02
,1.75,Intracellular,9.81E+02
,1.766666667,Intracellular,9.89E+02
,1.783333333,Intracellular,9.97E+02
,1.8,Intracellular,1.00E+03
,1.816666667,Intracellular,1.01E+03
,1.833333333,Intracellular,1.02E+03
,1.85,Intracellular,1.03E+03
,1.866666667,Intracellular,1.04E+03
,1.883333333,Intracellular,1.04E+03
,1.9,Intracellular,1.05E+03
,1.916666667,Intracellular,1.06E+03
